RAF,n,p,nodes,edges,SCC,WC,diameter,Bet_Centrality,coloring
1,2,0.07307307307307308,14,38,1,1,6,0.1584249084249084,3
1,2,0.07407407407407407,14,32,1,1,8,0.18406593406593402,3
1,2,0.07507507507507508,14,36,1,1,8,0.1593406593406593,3
0,2,0.07607607607607608,14,24,1,1,10,0.239010989010989,2
1,2,0.07707707707707707,14,28,1,1,8,0.19505494505494503,2
1,2,0.07807807807807808,14,28,1,1,10,0.22161172161172157,2
0,2,0.07907907907907907,14,36,1,1,6,0.14926739926739926,3
1,2,0.08008008008008008,14,34,1,1,10,0.18681318681318684,3
1,2,0.08108108108108109,14,34,1,1,10,0.1813186813186813,3
1,2,0.08208208208208208,14,26,1,1,10,0.21794871794871792,2
1,2,0.08308308308308308,14,28,1,1,10,0.19780219780219782,2
1,2,0.08408408408408408,14,30,1,1,10,0.1978021978021978,3
0,2,0.08508508508508508,14,24,1,1,10,0.239010989010989,2
0,2,0.08608608608608609,14,30,1,1,7,0.17673992673992675,3
1,2,0.08708708708708708,14,32,1,1,7,0.17673992673992675,3
1,2,0.08808808808808809,14,36,1,1,7,0.15934065934065936,2
1,2,0.0890890890890891,14,34,1,1,6,0.16208791208791204,3
1,2,0.09009009009009009,14,28,1,1,10,0.217032967032967,2
1,2,0.09109109109109109,14,30,1,1,10,0.19780219780219777,2
1,2,0.0920920920920921,14,32,1,1,8,0.1877289377289377,2
1,2,0.09309309309309309,14,28,1,1,10,0.20695970695970692,2
1,2,0.0940940940940941,14,30,1,1,8,0.19322344322344323,2
1,2,0.09509509509509509,14,32,1,1,7,0.17124542124542128,3
1,2,0.0960960960960961,14,30,1,1,10,0.2152014652014652,2
1,2,0.0970970970970971,14,38,1,1,6,0.1474358974358974,3
1,2,0.0980980980980981,14,34,1,1,7,0.1694139194139194,3
1,2,0.0990990990990991,14,28,1,1,9,0.20787545787545786,2
1,2,0.10010010010010009,14,28,1,1,10,0.21703296703296698,2
1,2,0.1011011011011011,14,32,1,1,7,0.1694139194139194,2
1,2,0.1021021021021021,14,30,1,1,10,0.20238095238095238,2
1,2,0.1031031031031031,14,30,1,1,8,0.18864468864468864,2
1,2,0.1041041041041041,14,38,1,1,8,0.17124542124542125,3
1,2,0.10510510510510511,14,28,1,1,10,0.20695970695970695,2
1,2,0.1061061061061061,14,26,1,1,10,0.23809523809523808,2
1,2,0.10710710710710711,14,30,1,1,10,0.2161172161172161,2
0,2,0.10810810810810811,14,26,1,1,10,0.217032967032967,2
0,2,0.1091091091091091,14,36,1,1,7,0.17032967032967034,3
1,2,0.11011011011011011,14,34,1,1,6,0.15842490842490844,2
1,2,0.1111111111111111,14,32,1,1,8,0.1813186813186813,3
1,2,0.11211211211211211,14,30,1,1,8,0.1932234432234432,2
1,2,0.11311311311311312,14,28,1,1,10,0.217032967032967,3
1,2,0.11411411411411411,14,28,1,1,8,0.19413919413919412,2
1,2,0.11511511511511512,14,36,1,1,7,0.15018315018315015,3
0,2,0.11611611611611611,14,26,1,1,10,0.20421245421245424,2
1,2,0.11711711711711711,14,30,1,1,10,0.20238095238095236,2
1,2,0.11811811811811812,14,36,1,1,7,0.16391941391941392,3
1,2,0.11911911911911911,14,30,1,1,8,0.1794871794871795,2
1,2,0.12012012012012012,14,38,1,1,6,0.14377289377289376,3
0,2,0.12112112112112113,14,34,1,1,8,0.18223443223443223,3
1,2,0.12212212212212212,14,42,1,1,6,0.13278388278388278,2
1,2,0.12312312312312312,14,32,1,1,8,0.17124542124542128,3
0,2,0.12412412412412413,14,26,1,1,10,0.217032967032967,2
1,2,0.12512512512512514,14,32,1,1,8,0.17216117216117216,3
1,2,0.12612612612612611,14,38,1,1,6,0.1456043956043956,3
1,2,0.12712712712712712,14,36,1,1,7,0.15567765567765562,3
0,2,0.12812812812812813,14,30,1,1,7,0.1813186813186813,3
0,2,0.12912912912912913,14,32,1,1,6,0.16483516483516483,3
0,2,0.13013013013013014,14,30,1,1,8,0.1923076923076923,2
0,2,0.13113113113113112,14,36,1,1,8,0.1620879120879121,2
1,2,0.13213213213213212,14,42,1,1,5,0.1419413919413919,3
1,2,0.13313313313313313,14,38,1,1,7,0.15109890109890106,3
1,2,0.13413413413413414,14,30,1,1,8,0.19871794871794868,2
1,2,0.13513513513513514,14,36,1,1,7,0.1593406593406593,3
1,2,0.13613613613613612,14,34,1,1,8,0.16117216117216113,3
1,2,0.13713713713713713,14,34,1,1,9,0.18406593406593405,3
1,2,0.13813813813813813,14,50,1,1,6,0.12454212454212456,3
1,2,0.13913913913913914,14,34,1,1,7,0.16117216117216118,3
1,2,0.14014014014014015,14,34,1,1,10,0.1886446886446886,2
1,2,0.14114114114114115,14,54,1,1,6,0.1098901098901099,3
1,2,0.14214214214214213,14,34,1,1,10,0.18864468864468864,3
1,2,0.14314314314314314,14,36,1,1,6,0.152014652014652,2
